Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Confirmed,2/17/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/21/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/30/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/19/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/22/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,1/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/2/2020,3,Time Series,2,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/16/2020,39,Time Series,3,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/13/2020,30,Time Series,6,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/22/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/10/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/29/2020,1,Time Series,1,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/14/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/27/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,1/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/16/2020,1,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/17/2020,66,Time Series,27,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/10/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/9/2020,14,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/27/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/15/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/20/2020,3,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/18/2020,68,Time Series,2,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
